name,n,Γ1,Γ2,uncertainty,time,res,optimality,iterations,LB,UB,first_LB,first_UB,last_LB,last_UB
WagnerModel,100,20.0,20.0,0.1,36.3986456,3145.1,true,17,"[3050.0, 3140.899999999999, 3144.100000000001, 3144.499999999999, 3144.499999999999, 3144.499999999999, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3144.4999999999995, 3145.0999999999995]","[3197.4999999999995, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1, 3145.1]",3050.0,3197.4999999999995,3145.0999999999995,3145.1
WagnerModel,100,60.0,60.0,0.1,23.7093189,3282.4000000000005,true,16,"[3050.0, 3247.7999999999997, 3247.8, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3281.4000000000005, 3282.400000000001]","[3328.199999999999, 3328.199999999999, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005, 3282.4000000000005]",3050.0,3328.199999999999,3282.400000000001,3282.4000000000005
WagnerModel,100,20.0,20.0,0.09999999999999999,5.7027446,3058.8,true,6,"[2965.0, 3051.4000000000005, 3057.8, 3057.8, 3057.8, 3057.8, 3058.7999999999997]","[3109.1000000000004, 3058.8, 3058.8, 3058.8, 3058.8, 3058.8, 3058.8]",2965.0,3109.1000000000004,3058.7999999999997,3058.8
WagnerModel,100,60.0,60.0,0.09999999999999999,4.7227607,3194.299999999999,true,5,"[2965.0, 3139.7, 3193.3, 3193.3, 3193.3, 3194.2999999999997]","[3236.200000000001, 3194.299999999999, 3194.299999999999, 3194.299999999999, 3194.299999999999, 3194.299999999999]",2965.0,3236.200000000001,3194.2999999999997,3194.299999999999
WagnerModel,100,20.0,20.0,0.09999999999999999,7.6550393,3211.2000000000003,true,7,"[3116.0, 3205.8, 3210.2000000000003, 3210.2000000000003, 3210.2000000000003, 3210.2000000000003, 3210.2000000000003, 3211.2]","[3224.6000000000004, 3211.2000000000003, 3211.2000000000003, 3211.2000000000003, 3211.2000000000003, 3211.2000000000003, 3211.2000000000003, 3211.2000000000003]",3116.0,3224.6000000000004,3211.2,3211.2000000000003
WagnerModel,100,60.0,60.0,0.09999999999999999,6.0928687,3355.7000000000003,true,6,"[3116.0, 3297.1999999999994, 3354.6999999999994, 3354.6999999999994, 3354.7, 3354.7, 3355.700000000001]","[3359.400000000001, 3355.7000000000003, 3355.7000000000003, 3355.7000000000003, 3355.7000000000003, 3355.7000000000003, 3355.7000000000003]",3116.0,3359.400000000001,3355.700000000001,3355.7000000000003
WagnerModel,100,20.0,20.0,0.1,13.7798117,3084.8,true,12,"[2990.0, 3062.9, 3075.7, 3080.5999999999995, 3080.5999999999995, 3082.4, 3082.4, 3082.4, 3082.4, 3082.4, 3083.7999999999997, 3083.7999999999997, 3084.7999999999997]","[3124.7000000000007, 3110.8, 3110.2000000000003, 3110.2000000000003, 3110.2000000000003, 3110.2000000000003, 3095.0999999999995, 3095.0999999999995, 3095.0999999999995, 3084.8, 3084.8, 3084.8, 3084.8]",2990.0,3124.7000000000007,3084.7999999999997,3084.8
WagnerModel,100,60.0,60.0,0.1,4.2478926,3220.4,true,5,"[2990.0, 3185.1, 3185.1000000000004, 3190.099999999999, 3190.099999999999, 3220.3999999999996]","[3240.2000000000003, 3240.2000000000003, 3240.2000000000003, 3240.2000000000003, 3220.4, 3220.4]",2990.0,3240.2000000000003,3220.3999999999996,3220.4
WagnerModel,100,20.0,20.0,0.09999999999999999,3.0864702,3145.4000000000005,true,4,"[3050.0, 3127.6, 3144.3999999999996, 3144.3999999999996, 3145.3999999999996]","[3213.6, 3145.4000000000005, 3145.4000000000005, 3145.4000000000005, 3145.4000000000005]",3050.0,3213.6,3145.3999999999996,3145.4000000000005
WagnerModel,100,60.0,60.0,0.09999999999999999,43.2643223,3280.4000000000005,true,20,"[3050.0, 3234.100000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3278.500000000001, 3279.500000000001, 3279.500000000001, 3279.500000000001, 3279.500000000001, 3279.500000000001, 3279.500000000001, 3279.500000000001, 3279.500000000001, 3280.4]","[3350.6, 3282.1000000000013, 3281.5, 3281.5, 3281.5, 3281.5, 3281.5, 3281.5, 3281.5, 3281.5, 3281.5, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005, 3280.4000000000005]",3050.0,3350.6,3280.4,3280.4000000000005
